annee;date;parcelle;exploitation;culture;ITK;OT;temps[h];profondeur[cm];RECOLTE_rendement[t/ha];RECOLTE_risqueEchaudage[%];RECOLTE_impactGel[%];IRRIGATION_dose[mm];IRRIGATION_reelle[mm];FERTI_produit;FERTI_nature;FERTI_annulee;FERTI_doseBruteOrg[kg/ha];FERTI_apportNminTheorique[kg/ha];FERTI_apportNminReel[kg/ha];FERTI_apportNorg_labile[kg/ha];FERTI_apportNorg_recalcitrant[kg/ha];BIOMASSE_export[t/ha];BIOMASSE_aer_restit[t/ha];BIOMASSE_rac_restit[t/ha];N_export[kg/ha];C_export[kg/ha];id_lot;nb_ugb;duree_pature[j];herbe_consommee[kg]
2019;258;42_001;SSM1-0003;mil;mil_precarachide;RECOLTE;19.27;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;42_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.25;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;42_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;8.27;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;43_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.86;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;43_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;43_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.95;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;44_001;SSM1-0003;mil;mil_precarachide;RECOLTE;4.64;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;44_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;44_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;1.99;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;45_001;SSM1-0003;mil;mil_precarachide;RECOLTE;8.96;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;45_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.11;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;45_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;3.85;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;46_001;SSM1-0003;mil;mil_precarachide;RECOLTE;19.01;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;46_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.24;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;46_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;8.16;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;47_001;SSM1-0003;mil;mil_precarachide;RECOLTE;6.59;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;47_001;SSM1-0003;mil;mil_precarachide;SEMIS;0.08;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;47_001;SSM1-0003;mil;mil_precarachide;TRAVAIL_SOL;2.83;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;48_001;SSM1-0002;mil;mil_precarachide;RECOLTE;16.43;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;48_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.21;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;48_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;7.05;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;49_001;SSM1-0002;mil;mil_precarachide;RECOLTE;4.11;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;49_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.05;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;49_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;1.76;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;50_001;SSM1-0002;mil;mil_precarachide;RECOLTE;39.09;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;50_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.5;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;50_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;16.78;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;51_001;SSM1-0002;mil;mil_precarachide;RECOLTE;4.73;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;51_001;SSM1-0002;mil;mil_precarachide;SEMIS;0.06;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;51_001;SSM1-0002;mil;mil_precarachide;TRAVAIL_SOL;2.03;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;52_001;SSM1-0005;mil;mil_precarachide;RECOLTE;5.91;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;52_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.08;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;52_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;2.53;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;53_001;SSM1-0005;mil;mil_precarachide;RECOLTE;15.53;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;53_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.2;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;53_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;6.67;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;54_001;SSM1-0005;mil;mil_precarachide;RECOLTE;13.55;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;54_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.17;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;54_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;5.82;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;55_001;SSM1-0005;mil;mil_precarachide;RECOLTE;7.21;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;55_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;55_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;3.09;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;56_001;SSM1-0005;mil;mil_precarachide;RECOLTE;8.36;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;56_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.11;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;56_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;3.59;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;57_001;SSM1-0005;mil;mil_precarachide;RECOLTE;17.2;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;57_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.22;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;57_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;7.38;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;58_001;SSM1-0005;mil;mil_precarachide;RECOLTE;22.4;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
2019;152;58_001;SSM1-0005;mil;mil_precarachide;SEMIS;0.29;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;121;58_001;SSM1-0005;mil;mil_precarachide;TRAVAIL_SOL;9.61;0.0;;;;;;;;;;;;;;;;;;;;;;
2019;258;59_001;SSM1-0005;mil;mil_precarachide;RECOLTE;8.59;0.0;0.2;;;;;;;;;;;;;0.0;0.21;2.26;;;;;;
