annee;jourDebut;jourFin;parcelle;couvert;itk;delta_Corg[kg_eqCO2/ha];tx_MO_fin[%];emissions_N2O_denit[kg_eqCO2/ha];emissions_N2O_nit[kg_eqCO2/ha];emissions_volat[kg_eqCO2/ha];emissions_lixiv[kg_eqCO2/ha];emissions_ferti[kg_eqCO2/ha];bilan_net_GES[kg_eqCO2/ha];ratio_Corg_Arg[%]
2018;213;365;201_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;202_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;203_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;204_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;205_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;206_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;207_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;208_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;209_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;210_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;211_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;212_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;213_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;214_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;215_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;216_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;217_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;218_001;solnu;;1756.07;0.79;27.97;10.21;0.0;162.59;0.0;1956.85;0.03
2018;213;365;219_001;solnu;;1642.32;0.8;22.77;9.28;0.0;158.94;0.0;1833.3;0.03
2018;213;365;220_001;solnu;;1756.07;0.79;27.97;10.21;0.0;162.59;0.0;1956.85;0.03
2018;213;365;221_001;solnu;;1642.32;0.8;22.77;9.28;0.0;158.94;0.0;1833.3;0.03
2018;213;365;222_001;solnu;;1637.78;0.74;19.55;9.56;0.0;160.07;0.0;1826.96;0.02
2018;213;365;223_001;solnu;;1597.07;0.73;20.49;9.28;0.0;158.86;0.0;1785.7;0.02
2018;213;365;224_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;225_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;226_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;227_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;228_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;229_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;230_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;231_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;232_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;233_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;234_001;solnu;;1527.92;0.84;18.09;8.38;0.0;155.41;0.0;1709.79;0.03
2018;213;365;235_001;solnu;;1597.42;0.84;19.21;8.84;0.0;157.27;0.0;1782.74;0.03
2018;213;365;236_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;237_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;238_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;239_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;240_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;241_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
2018;213;365;242_001;solnu;;1466.79;0.76;19.11;8.15;0.0;154.32;0.0;1648.36;0.03
2018;213;365;243_001;solnu;;1480.14;0.76;19.53;8.25;0.0;154.71;0.0;1662.63;0.02
