idPolygone;date;precipitation;tmin;tmax;etp;rayonnement
1;04/07/2020;0.0;20.53;36.94;6.754066936891542;25.72
1;05/07/2020;0.0;19.57;36.78;5.118440775916643;18.77
1;06/07/2020;0.0;23.23;38.0;5.341284940698913;16.78
1;07/07/2020;15.045;24.62;36.64;3.658444194280158;22.9
1;08/07/2020;0.101;24.65;35.26;3.26179842730536;23.61
1;09/07/2020;0.404;23.5;28.21;2.0274382814025835;21.93
1;10/07/2020;0.0;24.05;38.64;4.582979032004472;12.886272
1;11/07/2020;0.0;24.61;40.5;4.768352158723722;19.84
1;12/07/2020;0.0;18.24;36.35;5.0761526223853535;12.77
1;13/07/2020;0.0;24.0;34.1;4.256532924126522;12.2461254
1;14/07/2020;21.309;21.89;31.87;2.626390411788114;18.24
1;15/07/2020;0.0;22.74;33.79;3.2327932306975997;24.72
1;16/07/2020;1.818;23.35;34.71;2.292453253011896;17.96
1;17/07/2020;17.166999999999998;23.81;33.41;3.338071439683033;20.37
1;18/07/2020;0.6060000000000001;24.12;32.37;2.732656825464979;20.58
1;19/07/2020;0.101;24.05;36.7;2.694047367187746;22.8
1;20/07/2020;15.453;24.05;35.93;1.8205533638202849;23.56
1;21/07/2020;24.748;21.36;30.94;2.39046008137285;21.09
1;22/07/2020;0.101;24.99;30.89;2.986268244498497;25.15
1;23/07/2020;0.0;25.25;33.76;3.46736568147505;20.22
1;24/07/2020;0.101;21.15;34.39;4.010494752723356;23.38
1;25/07/2020;7.474;21.3;30.01;1.854596208972704;12.24
1;26/07/2020;0.0;23.74;33.48;3.336713836797608;19.84
1;27/07/2020;0.0;24.43;34.47;3.148787370159065;23.79
1;28/07/2020;0.0;24.68;37.0;2.9330612046437827;23.33
1;29/07/2020;2.525;24.59;32.54;1.5797943153271772;18.85
1;30/07/2020;16.463;21.33;32.61;3.391066535880359;19.45
1;31/07/2020;0.8079999999999999;24.37;32.21;2.2930442767604053;22.07
1;01/08/2020;0.0;24.72;29.58;6.561257086628689;21.97
1;02/08/2020;0.0;19.2;37.48;8.628242850677735;23.09
1;03/08/2020;0.0;15.12;42.06;5.189560714059494;19.62
1;04/08/2020;0.0;19.7;41.17;5.756594568279628;17.63
1;05/08/2020;0.0;21.64;37.56;5.990324217625198;22.59
1;06/08/2020;0.0;21.89;36.6;4.232606766409137;22.12
1;07/08/2020;0.0;24.85;33.99;5.185476594915773;10.9236366
1;08/08/2020;0.0;23.7;38.03;3.7412826623614097;25.31
1;09/08/2020;0.202;23.09;33.07;4.735190145492502;15.312231
1;10/08/2020;0.0;23.37;32.58;2.9024836093928736;19.18
1;11/08/2020;0.0;23.36;41.17;5.785309471832007;22.78
1;12/08/2020;0.0;17.68;37.72;5.421023185696088;20.6
1;13/08/2020;1.01;22.87;34.93;4.535177559145075;14.327829
1;14/08/2020;0.101;24.64;34.27;4.27911523649815;12.9987738
1;15/08/2020;21.513;21.87;35.26;3.328990502374985;20.68
1;16/08/2020;0.0;22.51;36.7;5.048443699214993;14.9066406
1;17/08/2020;0.0;26.34;33.79;4.141888831526902;11.5861194
1;18/08/2020;0.0;25.16;34.25;3.589673192260161;20.4
1;19/08/2020;0.101;24.91;34.46;3.707166938960961;19.8
1;20/08/2020;17.376;24.3;37.43;4.359948632429023;12.2945598
1;21/08/2020;19.291;23.47;30.82;3.4492671285832293;11.7120528
1;22/08/2020;0.101;24.29;33.02;4.471435495398844;14.1223284
1;23/08/2020;0.606;24.54;33.03;3.063053522956091;16.62
1;24/08/2020;0.0;25.16;35.33;4.420339482732339;12.4803288
1;25/08/2020;0.0;20.95;34.29;4.363365245622111;11.6221734
1;26/08/2020;62.426;22.93;33.58;2.2280569552346456;14.03
1;27/08/2020;11.922000000000002;23.15;34.75;4.264344554649879;13.8839814
1;28/08/2020;0.0;24.16;34.76;4.8436770714129205;15.455295
1;29/08/2020;1.616;24.96;32.66;2.105814492934818;14.42
1;30/08/2020;0.0;24.74;35.06;4.237340579056744;12.342978
1;31/08/2020;0.7070000000000001;24.81;37.52;4.403310579865211;12.635379
1;01/09/2020;0.0;16.58;30.17;7.362179153434946;19.25
1;02/09/2020;0.0;16.95;36.48;7.359727835866279;15.63
1;03/09/2020;0.0;18.83;37.14;6.077814274553719;18.89
1;04/09/2020;0.0;21.1;37.32;6.81052339159428;18.12
1;05/09/2020;0.0;20.21;38.93;5.915757212758626;5.72
1;06/09/2020;0.0;24.68;39.47;5.222538336938505;9.55
1;07/09/2020;0.0;25.13;32.91;5.222582245381991;10.1147562
1;08/09/2020;0.0;25.64;33.21;2.8890229234967357;22.71
1;09/09/2020;15.958;22.1;36.29;4.317128363327525;13.6700028
1;10/09/2020;0.0;23.66;36.47;3.9249554178536576;11.573208
1;11/09/2020;0.0;17.28;41.43;4.817892006911788;18.75
1;12/09/2020;0.0;16.5;36.75;5.243926051126051;15.07
1;13/09/2020;5.252;22.6;36.29;3.6405527077414295;11.213298
1;14/09/2020;6.161;21.65;33.21;2.6794708809449754;19.49
1;15/09/2020;0.0;23.41;35.84;4.724555768323871;14.2084044
1;16/09/2020;3.939;23.69;35.57;4.6703817581233;13.974138
1;17/09/2020;0.0;24.81;33.33;3.553208827261786;10.220742
1;18/09/2020;0.0;25.02;36.07;3.65807444482283;10.2847212
1;19/09/2020;24.746;21.68;34.54;3.596268989743988;11.3110038
1;20/09/2020;0.0;24.05;34.7;3.5931405663561087;10.88424
1;21/09/2020;16.967;20.88;33.5;2.3655958865133373;14.82
1;22/09/2020;0.0;22.28;36.43;4.30152239593923;12.6890172
1;23/09/2020;0.0;24.56;37.65;4.547974074056425;12.9627018
1;24/09/2020;38.588;23.15;35.98;3.4342752831964423;10.15533
1;25/09/2020;0.101;23.11;35.49;4.26538414108877;12.899646
1;26/09/2020;0.505;22.9;31.05;2.0768299373719703;16.78
1;27/09/2020;0.0;22.13;35.81;4.202896518974597;12.675492
1;28/09/2020;0.0;22.1;36.46;3.824958416524905;10.8276426
1;29/09/2020;0.0;23.44;36.94;4.021026845373812;11.046942
1;30/09/2020;0.0;24.58;38.6;4.536891287786843;12.0405546
1;01/10/2020;0.0;23.97;30.41;7.11208378976172;22.65
1;02/10/2020;0.0;17.83;36.75;7.373352085741266;23.29
1;03/10/2020;0.0;18.16;35.7;5.338243025346066;22.64
1;04/10/2020;0.0;20.17;37.65;5.754932892588166;21.47
1;05/10/2020;0.0;19.5;38.22;4.795252904126067;20.52
1;06/10/2020;0.0;19.54;37.01;4.812172878804771;21.87
1;07/10/2020;0.0;25.46;33.79;5.247521467796265;22.81
1;08/10/2020;0.0;25.0;36.07;3.80654920519921;16.18
1;09/10/2020;3.434;21.09;33.69;4.394543950998248;13.7060478
1;10/10/2020;0.0;23.79;37.44;4.206529320711471;12.176514
1;11/10/2020;0.0;17.59;40.5;3.757584894415183;23.0
1;12/10/2020;0.0;16.71;36.89;5.582664007097304;19.87
1;13/10/2020;0.101;23.18;30.98;2.080908072237383;12.83
1;14/10/2020;0.808;22.41;37.38;4.458012341405368;12.2981202
1;15/10/2020;0.0;23.72;38.5;3.682960802758947;10.17234
1;16/10/2020;0.0;23.91;40.16;4.347137755484554;11.468394
1;17/10/2020;0.0;24.46;38.14;3.57467402980715;21.72
1;18/10/2020;0.0;23.82;39.0;4.171524611851394;10.9467846
1;19/10/2020;0.0;23.91;38.99;4.954445025730846;10.6320834
1;20/10/2020;0.0;21.33;38.94;4.326846782473123;23.15
1;21/10/2020;0.101;22.19;40.1;4.024206871894156;21.94
1;22/10/2020;0.0;18.68;39.6;3.6784272214094513;22.88
1;23/10/2020;0.0;20.03;40.01;3.2344992475880705;21.71
1;24/10/2020;0.0;21.24;39.56;3.705487642085528;22.48
1;25/10/2020;0.0;22.89;41.95;4.031393505959152;22.49
1;26/10/2020;0.0;20.03;40.0;3.977604838015403;21.58
1;27/10/2020;0.0;19.75;40.81;4.280508439120501;22.27
