idParcelle;surface [m2];zone_pedo;matIrr
325_001;723.46025706732;dior_cc_sans_arbr;null
326_001;265.05203654943;dior_cc_sans_arbr;null
327_001;4032.4861037280302;dior_cb_sans_arbr;null
328_001;417.44550462620003;dekk_cb_avec_arbr;null
329_001;8103.16269096533;dekk_cb_sans_arbr;null
330_001;2280.75855975567;dekk_cb_sans_arbr;null
331_001;1609.80014268609;dior_cb_avec_arbr;null
332_001;1857.31451528898;dior_cb_sans_arbr;null
333_001;906.462513767;dior_cb_avec_arbr;null
334_001;2497.09957643723;dior_cb_sans_arbr;null
335_001;86.0074496056;dior_cb_avec_arbr;null
336_001;1912.50134737198;dior_cb_sans_arbr;null
337_001;4899.0915190347305;dior_cb_avec_arbr;null
338_001;6803.1736838188;dior_cb_sans_arbr;null
339_001;901.14832260301;dior_cb_avec_arbr;null
340_001;2139.82395969964;dior_cb_sans_arbr;null
341_001;365.04263901168;dekkMbel_cb_avec_arbr;null
342_001;2632.27852765343;dekkMbel_cb_sans_arbr;null
343_001;3058.0501545312;dekk_cb_sans_arbr;null
344_001;911.8738574302;dekk_cb_avec_arbr;null
345_001;2988.38709685036;dekk_cb_sans_arbr;null
346_001;426.31881376424;dior_cc_avec_arbr;null
347_001;472.15643010540003;dior_cc_sans_arbr;null
352_001;4827.53461834639;dekk_cb_sans_arbr;null
353_001;676.3159230310999;dior_cb_avec_arbr;null
354_001;4726.732687025769;dior_cb_sans_arbr;null
355_001;2165.00868569071;dekk_cb_avec_arbr;null
356_001;4538.62067157102;dekk_cb_sans_arbr;null
357_001;4373.37085805705;dior_cb_sans_arbr;null
358_001;1835.33190224778;dior_cb_avec_arbr;null
359_001;2959.5164444798697;dior_cb_sans_arbr;null
360_001;4473.66427135226;dekk_cb_avec_arbr;null
361_001;5920.41675229317;dekk_cb_sans_arbr;null
362_001;1275.35842902928;dior_cb_avec_arbr;null
363_001;3465.61399827693;dior_cb_sans_arbr;null
364_001;2266.7918800902003;dekk_cb_avec_arbr;null
365_001;8795.41178147925;dekk_cb_sans_arbr;null
366_001;826.80081239312;dior_cb_avec_arbr;null
367_001;5547.99744935124;dior_cb_sans_arbr;null
368_001;79.23791913212999;dior_cb_avec_arbr;null
369_001;1690.55040361464;dior_cb_sans_arbr;null
370_001;3152.87370801201;dior_cc_avec_arbr;null
371_001;8904.53949141742;dior_cc_sans_arbr;null
372_001;630.96274019585;dekk_cb_avec_arbr;null
373_001;4219.75429003632;dekk_cb_sans_arbr;null
374_001;678.62590226482;dekkMbel_cb_avec_arbr;null
375_001;638.7492920738399;dekkMbel_cb_sans_arbr;null
376_001;6106.7032145289;dekk_cb_sans_arbr;null
377_001;3063.08147205871;dior_cb_sans_arbr;null
378_001;1586.1571342160498;dior_cb_avec_arbr;null
379_001;4125.91451895852;dior_cb_sans_arbr;null
